"geo","geo_name","sect_perf","sect_perf_names","unit","unit_name","rnd_act","rnd_act_name","year","value","value_note","interpolated_flag"
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2015,2228517000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2016,2383763346,"",TRUE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2017,2590604000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2018,3151669145,"",TRUE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2019,3742364000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2020,4113005136,"",TRUE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2021,4473293000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2022,NA,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2000,35482000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2001,29356000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2002,25420000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2003,33854000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2004,38328000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2005,30677000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2006,42553000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2007,43287000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2008,63094000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2009,79733000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2010,185927000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2011,197746000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2012,251425000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2013,259812000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2014,334355000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2015,411034000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2016,322524000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2017,300424000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2018,325949000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2019,351232000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2020,343209000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2021,319525000,"",FALSE
"BG","Bulgaria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2022,NA,"",FALSE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2000,1667872000,"",FALSE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2001,1713257812,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2002,1755173000,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2003,1797862143,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2004,1842474000,"",FALSE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2005,1888282535,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2006,1934318634,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2007,1981075883,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2008,2034201000,"",FALSE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2009,2201247537,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2010,2502079500,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2011,2821316501,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2012,2969958000,"",FALSE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2013,2776204320,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2014,2421143735,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2015,2232282000,"",FALSE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2016,2304597000,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2017,2376912000,"",FALSE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2018,2413651500,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2019,2450391000,"",FALSE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2020,2754835948,"",TRUE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2021,3567038000,"",FALSE
"CH","Switzerland","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2022,NA,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2000,1312598000,"Break",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2001,1404653000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2002,1762356000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2003,2460980000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2004,3840973000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2005,3664118000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2006,4592609000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2007,2468964000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2008,2046732000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2009,2066778000,"Break",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2010,2898387000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2011,4058766000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2012,4916593000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2013,5009251000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2014,6256935000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2015,6547122000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2016,7298678000,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2017,NA,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2018,NA,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2019,NA,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2020,NA,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2021,NA,"",FALSE
"CN_X_HK","China except Hong Kong","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2022,NA,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2000,2355000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2001,3230000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2002,4065000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2003,3304000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2004,3321000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2005,3979000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2006,4908000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2007,8755000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2008,8522000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2009,8422000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2010,7467000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2011,6662000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2012,7559000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2013,9499000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2014,11304000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2015,10433000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2016,13594000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2017,13480000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2018,25745000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2019,39798000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2020,46253000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2021,47135000,"",FALSE
"CY","Cyprus","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2022,NA,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2000,221338000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2001,206922000,"Estimated",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2002,291044000,"Estimated",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2003,330142000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2004,341615000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2005,374522000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2006,397320000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2007,440641000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2008,447792000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2009,344052000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2010,546670000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2011,715545000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2012,810281000,"",FALSE
"CZ","Czechia","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2013,794710000,"",FALSE
